,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
281,64000283,7.6,7.5,,,,7.5,,9.75,,N1,Tiếng Anh
282,64000284,6.2,6.25,,,,5.5,4.75,6.75,4.6,N1,Tiếng Anh
283,64000285,5.4,6.25,,,,6.75,4.5,,2.4,N1,Tiếng Anh
284,64000286,6.8,7.5,6.75,8.5,7.5,,,,4.8,N1,Tiếng Anh
285,64000287,5.4,5.75,,,,,,,5.4,N1,Tiếng Anh
286,64000288,3.4,,,,,4.5,5.75,7.25,2.2,N1,Tiếng Anh
287,64000289,5.8,6.25,,,,,,7.5,,N1,Tiếng Anh
288,64000290,7.6,6.5,8.25,8.75,8.25,,,,5.6,N1,Tiếng Anh
289,64000291,6.6,7.75,,,,,,,,N1,Tiếng Anh
290,64000292,4.2,5.75,,,,5.25,5.25,6.5,3.2,N1,Tiếng Anh
291,64000293,6.2,8.25,,,,6.25,6.5,9.75,3.8,N1,Tiếng Anh
292,64000294,3.8,6.5,,,,6.25,5.75,8.25,3.2,N1,Tiếng Anh
293,64000295,6.2,,,,,,5.75,8.75,,N1,Tiếng Anh
294,64000296,8.4,8.75,7.25,7.5,6.75,,,,5.4,N1,Tiếng Anh
295,64000297,6.8,8.75,,,,6.5,,9.25,4.2,N1,Tiếng Anh
296,64000298,7.2,,6.5,5.75,7.25,,,,,N1,Tiếng Anh
297,64000299,,,,,,4.25,5.5,5.5,,N1,Tiếng Anh
298,64000300,5.8,,,,,,,9.5,2.4,N1,Tiếng Anh
299,64000301,,7.75,7.5,6.5,6.5,,,,6.8,N1,Tiếng Anh
300,64000302,,,8.5,7.75,8.25,,,,4.6,N1,Tiếng Anh
301,64000303,,8.5,,,,8.5,6.5,9.75,,N1,Tiếng Anh
302,64000304,7.6,8.25,,,,6.25,6.25,9.25,4.8,N1,Tiếng Anh
303,64000305,8.4,5.75,7.75,8.25,,,,,6.4,N1,Tiếng Anh
304,64000306,4.6,6.75,,,,,3.75,7.75,3.2,N1,Tiếng Anh
305,64000307,3.4,5.25,,,,5.75,5.75,,2.4,N1,Tiếng Anh
306,64000308,5.6,,,,,6.5,5.75,7.75,3.8,N1,Tiếng Anh
307,64000309,5.6,,,,,5.25,,,3.8,N1,Tiếng Anh
308,64000310,4.6,,,,,2.5,5.25,,2.8,N1,Tiếng Anh
309,64000311,7.6,6.25,,,,5.75,6.75,8.5,2.8,N1,Tiếng Anh
310,64000312,5.4,6.75,,,,6.75,5.5,8.5,5.6,N1,Tiếng Anh
311,64000313,4.8,5.5,,,,5.5,,,3.8,N1,Tiếng Anh
312,64000314,7.8,7.5,7.75,8.75,8.25,,,,4.6,N1,Tiếng Anh
313,64000315,7.6,6.75,,8.25,8.75,,,,5.8,N1,Tiếng Anh
314,64000316,5.4,6.25,,,,7.25,,9.25,2.6,N1,Tiếng Anh
315,64000317,,5.25,,,,5.25,,,5.4,N1,Tiếng Anh
316,64000318,5.2,6.5,,,,5.5,4.75,6.75,3.4,N1,Tiếng Anh
317,64000319,4.6,6.5,5.25,6.5,4.75,,,,2.4,N1,Tiếng Anh
318,64000320,4.2,,,,,5.25,3.75,,2.6,N1,Tiếng Anh
319,64000321,6.2,7.75,,,,5.75,6.5,9.25,,N1,Tiếng Anh
320,64000322,7.6,,8.5,,,,,,7.2,N1,Tiếng Anh
321,64000323,5.4,,,,,4.5,6.25,6.5,3.4,N1,Tiếng Anh
322,64000324,,7.25,,,,5.75,5.75,8.75,,N1,Tiếng Anh
323,64000325,5.2,7.75,,,,,,,3.8,N1,Tiếng Anh
324,64000326,5.8,5.75,,,,6.5,6.5,8.25,3.8,N1,Tiếng Anh
325,64000327,5.8,,,5.5,5.75,,,,5.4,N1,Tiếng Anh
326,64000328,5.8,6.25,5.5,,,,,,1.8,N1,Tiếng Anh
327,64000329,5.8,,,,,6.5,6.25,8.25,3.4,N1,Tiếng Anh
328,64000330,6.8,,,,,,6.75,10.0,4.8,N1,Tiếng Anh
329,64000331,6.6,8.75,,,,8.75,7.75,,4.6,N1,Tiếng Anh
330,64000332,5.2,6.5,,,,,6.5,,2.8,N1,Tiếng Anh
331,64000333,4.2,5.25,,,,3.75,4.25,6.75,1.6,N1,Tiếng Anh
332,64000334,4.2,6.75,,,,4.75,3.75,,1.6,N1,Tiếng Anh
333,64000335,,6.25,,,,,,8.75,4.2,N1,Tiếng Anh
334,64000336,3.4,7.75,,,,8.25,5.25,8.5,,N1,Tiếng Anh
335,64000337,,,,,,4.5,4.5,,2.2,N1,Tiếng Anh
336,64000338,7.8,,8.25,8.75,6.25,,,,,N1,Tiếng Anh
